import time: self [us] | cumulative | imported package
import time:      1874 |       6558 |                   bson.dbref
import time:      2220 |       2220 |                   bson.decimal128
import time:      1738 |       1738 |                   bson.int64
import time:      1907 |       1907 |                   bson.max_key
import time:      2283 |       2283 |                   bson.min_key
import time:      3499 |       3499 |                   bson.objectid
import time:      2290 |       2290 |                   bson.regex
import time:      2286 |       2286 |                   bson.timestamp
import time:      4648 |       4648 |                   bson._cbson
import time:      5694 |      64736 |                 bson
import time:        85 |      64821 |               bson.codec_options
import time:      3763 |       3763 |                 difflib
import time:      2577 |       2577 |                 bson.raw_bson
import time:      4023 |       4023 |                     pymongo.server_type
import time:      2701 |       2701 |                     pymongo.typings
import time:      2866 |       9589 |                   pymongo.hello
import time:      3164 |       3164 |                     pymongo.errors
import time:      2277 |       5440 |                   pymongo.helpers_shared
import time:      2378 |      17407 |                 pymongo.compression_support
import time:      1852 |       1852 |                 pymongo.driver_info
import time:      3603 |       3603 |                 pymongo.monitoring
import time:      2036 |       2036 |                 pymongo.read_concern
import time:      3618 |       3618 |                   pymongo.max_staleness_selectors
import time:      1959 |       1959 |                   pymongo.server_selectors
import time:      3521 |       9096 |                 pymongo.read_preferences
import time:      1879 |       1879 |                 pymongo.server_api
import time:      2070 |       2070 |                 pymongo.write_concern
import time:      6355 |      50634 |               pymongo.common
import time:      1741 |       1741 |                 pymongo._asyncio_task
import time:      2764 |       2764 |                   pymongo._asyncio_lock
import time:      3526 |       6290 |                 pymongo.lock
import time:      3613 |      11642 |               pymongo.periodic_executor
import time:      2917 |       2917 |                       pymongo._cmessage
import time:      3299 |       6216 |                     pymongo.message
import time:      2111 |       8326 |                   pymongo.cursor_shared
import time:      5127 |      13452 |                 pymongo.asynchronous.cursor_base
import time:      4087 |      17539 |               pymongo.asynchronous.client_session
import time:      3420 |       3420 |                   pymongo.collation
import time:      1933 |       5352 |                 pymongo.asynchronous.aggregation
import time:      1955 |       1955 |                     pymongo.response
import time:      2604 |       4559 |                   pymongo.asynchronous.command_cursor
import time:      3168 |       3168 |                   pymongo.operations
import time:      2177 |       9903 |                 pymongo.asynchronous.change_stream
